,Unnamed: 0,t[s],P[Pa],T[K],density[kg/m3],mean_MW[kg/mol],gas_mass[kg],gas_volume[m3],reactor_volume[m3],N_agg[mol/kg],N_pri[mol/kg],C_tot[mol/kg],H_tot[mol/kg],A_tot[m2/kg],N_agg[#/cm3],N_pri[#/cm3],N_agg[#/g],N_pri[#/g],d_p[nm],d_m[nm],d_g[nm],d_v[nm],n_p,total_soot_mass[kg],volume_fraction,SSA[m2/g],total_carbon_mass[kg],carbon_yield,total_hydrogen_mass[kg],total_carbon_mass[kg].1,total_hydrogen_mass[kg].1,C_tot_inception[mol/kg-s],C_tot_PAH[mol/kg-s],C_tot_growth[mol/kg-s],C_tot_int[mol],C_tot_inception_int[mol],C_tot_PAH_int[mol],C_tot_growth_int[mol]
0,0,0.0,512774.9999999999,2150.0,1.1116754563090447,0.03875465,1.1116754563090443,0.9999999999999998,0.9999999999999998,1.4901327247760852e-19,1.660539131934866e-24,4.800286584411558e-12,3.321078263869749e-23,1.2567588138810746e-17,0.0997594106953997,1.111675507048307e-06,89.73789079289232,0.0010000000456421,1.9999399719905624,88.00959055791596,68.22448880458599,88.00959055791596,1.0,6.409502931828665e-14,3.5608349621270365e-17,2.179744580432004e-07,0.0172267507328509,3.720668529557468e-12,0.0057828872662223,0.0172267507328509,0.0057828872662223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2.2222e-16,512775.0,2149.999999998897,1.1116754563095494,0.0387546499999977,1.1116754563090443,0.9999999999995458,0.9999999999995458,1.660539131934866e-24,1.660539131934866e-24,6.415647815256822e-22,3.321078263869749e-23,1.2567588138810746e-17,1.1116755070488118e-06,1.1116755070488118e-06,0.0010000000456421,0.0010000000456421,1.9999399719905624,1.9999399719905624,1.5503410635585768,1.9999399719905624,1.0,8.603602153926104e-24,4.779778974405563e-27,1623.8639384947749,0.0172267507327868,4.972723712052352e-22,0.0057828872662223,0.0172267507327868,0.0057828872662223,0.0,0.0,1.2412181202081658e-67,1.5331310242714057e-83,0.0,0.0,1.5331310242714057e-83
2,2,2.222222222e-11,512775.0,2149.999889654835,1.1116755067367223,0.0387546497689655,1.1116754563090443,0.9999999546381318,0.9999999546381318,1.660539131934872e-24,1.660539131934866e-24,6.415647817139294e-22,3.321078263869749e-23,1.2567588138810746e-17,1.111675557475991e-06,1.111675557475987e-06,0.0010000000456421,0.0010000000456421,1.9999399719905624,1.9999399719908653,1.5503410635588115,1.9999399719908653,1.0,8.603602156439643e-24,4.779779192619515e-27,1623.863938020364,0.0172267507327868,4.972723713511441e-22,0.0057828872662223,0.0172267507327868,0.0057828872662223,0.0,0.0,4.0399967667394774e-45,3.3267724391680088e-56,0.0,0.0,3.3267724391680088e-56
3,3,6.6425349143754454e-09,512774.9999999999,2149.9670256829177,1.1116905255498564,0.0387545809520886,1.1116754563090443,0.9999864447519652,0.9999864447519652,1.66053913227375e-24,1.660539131934949e-24,6.415756957209299e-22,3.321078263869915e-23,1.2567588138811375e-17,1.1116905765166812e-06,1.111690576289862e-06,0.0010000000458462,0.0010000000456422,1.999939971990563,1.999939989539369,1.5503410771623023,1.999939989539369,1.0,8.603747883905367e-24,4.7799247285682636e-27,1623.83643354454,0.0172267507327869,4.9728083072157225e-22,0.0057828872662223,0.0172267507327869,0.0057828872662223,0.0,0.0,1.4256835837637917e-33,3.5033558607769214e-42,0.0,0.0,3.5033558607769214e-42
4,4,4.7564388153856666e-08,512775.0,2149.7642652225,1.1117831893267054,0.0387541561024391,1.1116754563090443,0.9999030988967136,0.9999030988967136,1.6605391342430892e-24,1.6605391365546974e-24,6.417135692450747e-22,3.321078263869753e-23,1.256765769990226e-17,1.111783241616313e-06,1.1117832431640076e-06,0.0010000000470321,0.0010000000484242,1.9999402172750635,1.999940137953233,1.5503411894157,1.9999401228377505,1.0000000013920831,8.605588817236507e-24,4.781345993944511e-27,1623.498043537856,0.0172267507327939,4.973876955250219e-22,0.0057828872662241,0.0172267507327939,0.0057828872662241,0.0,0.0,3.460001645570656e-29,5.603519362240121e-37,0.0,0.0,5.603519362240121e-37
5,5,1.29954930552116e-07,512775.0,2149.357707358084,1.1119690231367787,0.0387533035225462,1.1116754563090443,0.999735993699801,0.999735993699801,1.6605391518071737e-24,1.6605391717086285e-24,6.428457475938027e-22,3.321078263871772e-23,1.2568174032083449e-17,1.1119690871967995e-06,1.1119691005236775e-06,0.0010000000576095,0.0010000000695944,1.9999420424757384,1.99994138526922,1.5503421791231906,1.999941270687449,1.0000000119849357,8.620706040589584e-24,4.790545867951412e-27,1620.7176693305162,0.0172267507327749,4.982652390378696e-22,0.0057828872662192,0.0172267507327749,0.0057828872662192,0.0,0.0,7.907149453983023e-27,2.846740797065269e-34,0.0,0.0,2.846740797065269e-34
6,6,2.6025476629378374e-07,512774.9999999998,2148.7185845841936,1.112261276993451,0.0387519623539066,1.1116754563090443,0.9994733065903454,0.9994733065903454,1.6605391630868807e-24,1.660539194284586e-24,6.43572835863398e-22,3.321078264031379e-23,1.2568504947889249e-17,1.1122613486256754e-06,1.1122613695225034e-06,0.0010000000644023,0.00100000008319,1.9999432123115592,1.9999421855257136,1.5503428136812578,1.9999420078515608,1.0000000187876965,8.630414365945943e-24,4.797201302058327e-27,1618.9371541879432,0.0172267507327705,4.9882880006601255e-22,0.005782887266218,0.0172267507327705,0.005782887266218,0.0,0.0,3.0767340637523264e-25,1.7896668529877097e-32,0.0,0.0,1.7896668529877097e-32
7,7,4.701406794264234e-07,512774.9999999999,2147.6978628183697,1.1127282960024745,0.0387498172611884,1.1116754563090443,0.9990538214070656,0.9990538214070656,1.660539161798803e-24,1.660539191706541e-24,6.434898070158503e-22,3.3210782696016304e-23,1.2568467168473597e-17,1.112728366801634e-06,1.112728386842829e-06,0.0010000000636266,0.0010000000816374,1.9999430791484856,1.9999420945575896,1.550342741543478,1.9999419240839147,1.00000001801086,8.629305737112094e-24,4.798599074560477e-27,1619.140276201878,0.0172267507327811,4.987644449874804e-22,0.0057828872662208,0.0172267507327811,0.0057828872662208,0.0,0.0,5.716917001968226e-24,6.025437979042368e-31,0.0,0.0,6.025437979042368e-31
8,8,9.345721613764088e-07,512775.0,2145.471824548805,1.1137474720287313,0.0387451091403333,1.1116754563090443,0.9981396000693832,0.9981396000693832,1.6605412500021073e-24,1.6605433711759376e-24,7.780951114532941e-22,3.321078541299812e-23,1.2629708004041008e-17,1.1137489434807831e-06,1.1137503661826355e-06,0.001000001321172,0.0010000025985728,2.0001595891155666,2.000090236980208,1.5504602015386688,2.0000784123708497,1.000001277399059,1.0426600710487574e-23,5.803352506872004e-27,1346.5689152477123,0.0172267507327827,6.030960742194239e-22,0.005782887266221,0.0172267507327827,0.005782887266221,0.0,0.0,1.2916718175534166e-22,2.832404687915032e-29,0.0,0.0,2.832404687915032e-29
9,9,2.0381849375996817e-06,512774.9999999999,2140.2949106479314,1.1161153479027228,0.0387337942055887,1.1116754563090443,0.9960220136726716,0.9960220136726716,1.660539458837662e-24,1.6605391320148004e-24,6.5209440421732635e-22,3.3210943822403534e-23,1.256760414303163e-17,1.1161156185692e-06,1.1161153988983584e-06,0.0010000002425076,0.0010000000456902,1.999941159510701,1.9999580878850856,1.550355106887663,1.999958087884693,1.0000000000000258,8.74419737262372e-24,4.8772892190632596e-27,1597.756372032126,0.0172267507327857,5.0543380804614005e-22,0.005782887266222,0.0172267507327857,0.005782887266222,0.0,0.0,3.161969119232621e-21,1.6529601912427112e-27,0.0,0.0,1.6529601912427112e-27
