t[s],z[m],T[K],density[kg/m3],area[m2],mean_MW[kg/mol],gas_mdot[kg/s],velocity[m/s],gas_h[J/s],total_h,N_agg[mol/kg],N_pri[mol/kg],C_tot[mol/kg],H_tot[mol/kg],A_tot[m2/kg],N_agg[#/cm3],N_pri[#/cm3],d_p[nm],d_m[nm],d_g[nm],d_v[nm],n_p,total_carbon_mass_flow[kg/s],total_hydrogen_mass_flow[kg/s],soot_carbon_mass_flow[kg/s],soot_h[J/s],soot_mass[kg/kg],volume_fraction[-],SSA[m2/g],carbon_yield[-],inception_mass[mol/kg-s],coagulation_mass[mol/kg-s],PAH_adsorption_mass[mol/kg-s],surface_growth_mass[mol/kg-s],C_tot_inception[mol/kg-s],C_tot_PAH[mol/kg-s],C_tot_growth[mol/kg-s]
0.0,0.0,2200.0,0.20810589220593043,9.503317777109122e-05,0.037559300000000004,0.0001,5.056387762037616,112.7580584316969,112.7580584316969,1.6605390671738466e-24,1.6605390671738466e-24,6.27683767391714e-22,3.3210781343476935e-23,1.2565578781239173e-17,2.0810589358820226e-07,2.0810589358820226e-07,1.9999369869583437,1.9999369869583437,1.550338749580111,1.9999369869583437,1.0,3.1978764247469996e-06,1.0735024348164103e-06,7.5391097301418785e-28,2.557719378358698e-21,7.572586197736103e-24,8.754998927701035e-28,1659.3510398066876,2.357536292459561e-22,0.0,-5.651210943944228e-40,0.0,0.0,0.0,0.0,0.0
2.4171845248522184e-12,1.2222222222220001e-11,2199.9999920768205,0.20810589285257836,9.503317777109122e-05,0.03755929998144034,0.0001,5.056387746325891,112.75805843169694,112.75805843169694,1.6605390671738466e-24,1.6605390671738466e-24,6.27683767391714e-22,3.3210781343476935e-23,1.2565578781239173e-17,2.081058942348502e-07,2.081058942348502e-07,1.9999369869583437,1.9999369869583437,1.550338749580111,1.9999369869583437,1.0,3.1978764247470013e-06,1.0735024348164107e-06,7.5391097301418785e-28,2.557719365604878e-21,7.572586197736103e-24,8.754998954905462e-28,1659.3510398066876,2.357536292459561e-22,0.0,-5.6512109512977355e-40,0.0,2.312538317508318e-52,0.0,0.0,2.312538317508318e-52
1.7534495856817004e-08,8.86602113381724e-08,2199.9425501546857,0.20811058094367463,9.503317777109122e-05,0.03755916540188211,0.0001,5.056273841466919,112.75805843169685,112.75805843169685,1.6605390671738466e-24,1.6605390671738466e-24,6.27683767391714e-22,3.3210781343476935e-23,1.2565578781239173e-17,2.0811058232597758e-07,2.0811058232597758e-07,1.9999369869583437,1.9999369869583437,1.550338749580111,1.9999369869583437,1.0,3.1978764247470004e-06,1.0735024348164107e-06,7.5391097301418785e-28,2.5576269024096517e-21,7.572586197736103e-24,8.755196182538402e-28,1659.3510398066876,2.357536292459561e-22,0.0,-5.651264260650789e-40,0.0,2.1056607247947874e-34,0.0,0.0,2.1056607247947874e-34
1.3184856124518877e-07,6.666210766022771e-07,2199.5691331721473,0.20814105834613336,9.503317777109122e-05,0.03755828966611763,0.0001,5.0555334681161135,112.75805843169671,112.75805843169671,1.6605390671738466e-24,1.6605390671738466e-24,6.27683767391714e-22,3.3210781343476947e-23,1.2565578781239173e-17,2.0814105972863877e-07,2.0814105972863877e-07,1.9999369869583437,1.9999369869583437,1.550338749580111,1.9999369869583437,1.0,3.1978764247469996e-06,1.0735024348164103e-06,7.5391097301418785e-28,2.5570258284569453e-21,7.572586197736103e-24,8.756478364522858e-28,1659.3510398066876,2.357536292459561e-22,0.0,-5.651610739955525e-40,0.0,7.310402543711766e-30,0.0,0.0,7.310402543711766e-30
2.8854976168227695e-07,1.458750066303125e-06,2199.0598829854475,0.2081826321448237,9.503317777109122e-05,0.037557094171914905,0.0001,5.054523884710859,112.75805843169661,112.75805843169661,1.6605390671738466e-24,1.6605390671738466e-24,6.2768376739173745e-22,3.321078134347988e-23,1.2565578781239491e-17,2.0818263352760525e-07,2.0818263352760525e-07,1.9999369869583687,1.9999369869583687,1.5503387495801308,1.9999369869583687,1.0,3.197876424746999e-06,1.0735024348164105e-06,7.539109730142159e-28,2.556206132939433e-21,7.572586197736387e-24,8.75822737104624e-28,1659.3510398066674,2.357536292459649e-22,0.0,-5.65208323257695e-40,0.0,5.336745509103039e-28,0.0,0.0,5.336745509103039e-28
5.01911266445554e-07,2.5370449559514134e-06,2198.370616315158,0.20823892804357697,9.503317777109122e-05,0.037555475243083905,0.0001,5.0531574304770945,112.75805843169674,112.75805843169674,1.6605390671738466e-24,1.6605390671738466e-24,6.276837673925703e-22,3.3210781343583934e-23,1.2565578781250601e-17,2.0823892942673244e-07,2.0823892942673244e-07,1.9999369869592531,1.9999369869592531,1.5503387495808163,1.9999369869592531,1.0,3.197876424746999e-06,1.0735024348164103e-06,7.5391097301521625e-28,2.555096723934272e-21,7.572586197746495e-24,8.760595735201759e-28,1659.3510398059195,2.3575362924627773e-22,0.0,-5.652722916258518e-40,0.0,1.0964658341729017e-26,0.0,0.0,1.0964658341729017e-26
7.972801105215468e-07,4.029312536454221e-06,2197.423492055484,0.20831633493186405,9.503317777109122e-05,0.03755324937687801,0.0001,5.051279761148638,112.75805843169668,112.75805843169668,1.6605390671738466e-24,1.6605390671738466e-24,6.276837674077954e-22,3.3210781345487107e-23,1.25655787814538e-17,2.0831633631553367e-07,2.0831633631553367e-07,1.9999369869754238,1.9999369869754238,1.5503387495933516,1.9999369869754238,1.0,3.1978764247469996e-06,1.073502434816409e-06,7.539109730335032e-28,2.553572361669077e-21,7.572586197931282e-24,8.763852237270355e-28,1659.3510397922614,2.357536292519962e-22,0.0,-5.653602265982264e-40,0.0,1.2569968318980902e-25,0.0,0.0,1.2569968318980902e-25
1.2609614641047422e-06,6.370819037528353e-06,2195.9518200505827,0.20843671625583257,9.503317777109122e-05,0.037549785627469745,0.0001,5.048362426063412,112.75805843169664,112.75805843169664,1.6605390671738466e-24,1.6605390671738466e-24,6.276837676558545e-22,3.321078137649448e-23,1.256557878476439e-17,2.0843671764030178e-07,2.0843671764030178e-07,1.9999369872388804,1.9999369872388804,1.5503387497975816,1.9999369872388804,1.0,3.1978764247470004e-06,1.0735024348164103e-06,7.5391097333144685e-28,2.551203946585846e-21,7.572586200941975e-24,8.768916673825418e-28,1659.3510395697208,2.357536293451654e-22,0.0,-5.654969124732831e-40,0.0,1.2509848543703136e-24,0.0,0.0,1.2509848543703136e-24
2.602223197847706e-06,1.3136428568799622e-05,2191.782470348687,0.20877823650579747,9.503317777109122e-05,0.03753989954161213,0.0001,5.0401042952039985,112.75805843169667,112.75805843169667,1.6605390671738466e-24,1.6605390671738466e-24,6.276837844043044e-22,3.321078347005068e-23,1.25655790082888e-17,2.087782378925351e-07,2.087782378925351e-07,1.999937005026948,1.999937005026948,1.5503387635867814,1.999937005026948,1.0,3.1978764247470013e-06,1.0735024348164103e-06,7.539109934480101e-28,2.544495363696876e-21,7.572586404217912e-24,8.78328464033552e-28,1659.3510245442435,2.3575363563576595e-22,9.41516586037403e-58,-5.658838951295369e-40,5.384124918310938e-47,3.612874919274837e-23,3.558932695221384e-55,5.384124918310938e-47,3.612874919274837e-23
5.50007396047938e-06,2.7716815566258252e-05,2183.054048523384,0.20949310211045147,9.503317777109122e-05,0.03751842925584204,0.0001,5.022905651581782,112.7580584316966,112.7580584316966,1.6605390671738466e-24,1.6605390671738466e-24,6.27684673367676e-22,3.3210894590472125e-23,1.2565590872369749e-17,2.0949310350193736e-07,2.0949310350193736e-07,1.9999379491700275,1.9999379491700275,1.5503394954806413,1.9999379491700275,1.0,3.197876424746999e-06,1.0735024348164094e-06,7.539120611819158e-28,2.5304605339485314e-21,7.572597193566353e-24,8.8133715395173e-28,1659.3502270324668,2.357539695241856e-22,0.0,-5.666865144460493e-40,0.0,8.418224651863507e-22,0.0,0.0,8.418224651863507e-22
9.938244044570541e-06,4.995225843396979e-05,2169.786353655363,0.21057002992953205,9.503317777109122e-05,0.03748210426122366,0.0001,4.99721677823824,112.75805843169496,112.75805843169496,1.6605390671738466e-24,1.6605390671738466e-24,6.277008081676878e-22,3.321291144047362e-23,1.2565806205997997e-17,2.1057003132817108e-07,2.1057003132817108e-07,1.9999550853339474,1.9999550853339474,1.5503527793286414,1.9999550853339474,1.0,3.1978764247469996e-06,1.0735024348164099e-06,7.539314406902099e-28,2.5092017078191057e-21,7.572793021634097e-24,8.85890696230913e-28,1659.3357523571246,2.357600296421264e-22,4.3140887682048803e-35,-5.678633956598965e-40,1.154545803189673e-35,8.224043408795244e-21,1.6307255543814448e-32,1.154545803189673e-35,8.224043408795244e-21
1.4773759291651642e-05,7.404793118646556e-05,2154.6168488056765,0.21177780498487758,9.503317777109122e-05,0.037433542335336085,0.0001,4.968717503862716,112.75805843169468,112.75805843169468,1.6605390676624063e-24,1.6605390676624063e-24,6.277915498768772e-22,3.3224254278778443e-23,1.2567017203771897e-17,2.1177780645384758e-07,2.1177780645384758e-07,2.00005145302309,2.00005145302309,1.550427482963636,2.00005145302309,1.0,3.197876424746999e-06,1.0735024348164099e-06,7.540404305571173e-28,2.4852053833257302e-21,7.573894353884181e-24,8.911015119183052e-28,1659.2543566873298,2.35794111592906e-22,1.4234002916578766e-27,-5.691283586297212e-40,6.639620899689678e-32,3.27502412634745e-20,5.380453102466773e-25,6.639620899689678e-32,3.27502412634745e-20
