,t[s],T[K],density[kg/m3],mean_MW[kg/mol],mdot[kg/s,N_agg[mol/kg],N_pri[mol/kg],C_tot[mol/kg],H_tot[mol/kg],A_tot[m2/kg],N_agg[#/cm3],N_pri[#/cm3],N_agg[#/g],N_pri[#/g],d_p[nm],d_m[nm],d_v[nm],d_g[nm],n_p,soot_mass[kg/kg],volume_fraction,SSA,total_carbon_mass_flow[kg/s],carbon_yield,total_hydrogen_mass_flow[kg/s],soot_mass_flow[kg/s],inception_mass[mol/kg-s],coagulation_mass[mol/kg-s],PAH_adsorption_mass[mol/kg-s],surface_growth_mass[mol/kg-s],soot_h[J/m3],C_mass_error,H_mass_error,enthalpy_error
0,0.0,1800.0000000000005,0.16437352670200833,0.024278505578289342,0.00486665074670236,1.660539131934866e-24,1.660539131934866e-24,6.415647815256822e-22,3.321078263869749e-23,1.2567588138810746e-17,1.6437353420437014e-07,1.6437353420437014e-07,0.0010000000456421541,0.0010000000456421541,1.9999399719905626,1.9999399719905626,1.9999399719905626,1.5503410635585768,1.0,7.739311059804772e-24,7.06743251746649e-28,1623.8639384947749,0.0004993238125711532,7.510478114930393e-23,8.380957506814127e-05,3.7664523948160726e-26,0.0,-6.3806845311824155e-40,0.0,0.0,9.566425722091338e-20,0.0,0.0,-0.7317433922329623
1,6.484818720117219e-09,1799.9989538796515,0.16437353541939723,0.024278508479780133,0.00421041681518909,1.660539131927475e-24,1.660539131927475e-24,6.415647815228885e-22,3.3210782638549677e-23,1.2567588138754819e-17,1.6437354292102786e-07,1.6437354292102786e-07,0.0010000000456377033,0.0010000000456377033,1.999939971990563,1.999939971990563,1.999939971990563,1.5503410635585768,1.0,7.739311059771069e-24,7.06743289225007e-28,1623.86393849462,0.0004319934768482148,6.497742490870565e-23,7.25084380422941e-05,3.2585725424039e-26,8.392616274191262e-119,-2.218587013996989e-40,1.9747887276351657e-78,1.2327326527021719e-29,8.276452876548712e-20,-0.13484302976907347,0.1348430297690734,-0.7679154397857424
2,3.58137588692062e-08,1799.9942224265462,0.16437374034303315,0.024278521602002834,0.00226256534166532,1.6605391317256182e-24,1.6605391317256182e-24,6.415647814465888e-22,3.3210782634512806e-23,1.2567588137227358e-17,1.6437374782469163e-07,1.6437374782469163e-07,0.0010000000455161419,0.0010000000455161419,1.9999399719905655,1.9999399719905655,1.9999399719905655,1.5503410635585786,1.0,7.739311058850563e-24,7.067441702341486e-28,1623.8639384903968,0.0002321417359479112,3.491712959183866e-23,3.896409455257559e-05,1.7510696970122414e-26,5.63086365676019e-91,-2.2185868600699963e-40,1.6175564527582355e-64,2.238775577456849e-28,4.4475272741328103e-20,-0.5350877925237529,0.5350877925237528,-0.8752827854109189
3,2.2375399668885862e-07,1799.9638965247648,0.16437678373365794,0.024278605665751206,0.00044328864882481594,1.6605391238854705e-24,1.6605391238854705e-24,6.415647784855179e-22,3.3210782478022975e-23,1.256758807793077e-17,1.6437679043935866e-07,1.6437679043935866e-07,0.0010000000407946947,0.0010000000407946947,1.9999399719928896,1.9999399719928896,1.9999399719928896,1.5503410635603803,1.0,7.7393110231274e-24,7.067572523867375e-28,1623.8639383240986,4.548191142557446e-05,6.841069665981849e-24,7.633963319786653e-06,3.430748726277149e-27,4.573040115442197e-124,-2.2186091682475682e-40,4.877113391270987e-81,4.282997068347384e-26,8.713515826496178e-21,-0.908912993371224,0.9089129933712239,-0.9755635424103869
4,7.113109943859302e-07,1799.8851667328893,0.1643854451074474,0.024278823461113107,0.0004225893382717892,1.660539050767873e-24,1.660539050767873e-24,6.415647510277369e-22,3.3210781038255454e-23,1.256758752688272e-17,1.643854445752081e-07,1.643854445752081e-07,0.000999999996762248,0.000999999996762248,1.9999399721596327,1.9999399721596327,1.9999399721596327,1.5503410636896382,1.0,7.739310691880706e-24,7.067944627275758e-28,1623.8639366251764,4.3358138999551256e-05,6.521626455256048e-24,7.277496313637059e-06,3.2705501839616505e-27,1.1736101009428113e-80,-2.218677184370217e-40,2.3352999752107166e-59,9.2015021503199e-25,8.30610886397783e-21,-0.9131662902750655,0.9131662902750654,-0.9767009313960107
5,1.468444033195041e-06,1799.7627431531414,0.16439891007088084,0.02427916073696748,0.0004186792142027093,1.6605387863164972e-24,1.6605387863164972e-24,6.415646531496466e-22,3.321077600980203e-23,1.2567585551638238e-17,1.6439888335702887e-07,1.6439888335702887e-07,0.0009999998375059059,0.0009999998375059059,1.999939974082424,1.999939974082424,1.999939974082424,1.5503410651801746,1.0,7.739309511198281e-24,7.068522490789994e-28,1623.8639291339562,4.2956955894492365e-05,6.4612823272165515e-24,7.210159277603534e-06,3.240288024620051e-27,9.034013959506765e-73,-2.21878248941064e-40,2.0489502604441194e-55,5.2048034510154225e-24,8.228436505185947e-21,-0.9139697430545214,0.9139697430545213,-0.9769108691089605
6,2.904471189846139e-06,1799.530017127885,0.16442448036346236,0.02427979723397867,0.0004115085514822545,1.660537780858822e-24,1.660537780858822e-24,6.415642921475082e-22,3.3210758283329937e-23,1.2567578180032384e-17,1.6442435408630612e-07,1.6442435408630612e-07,0.0009999992320051372,0.0009999992320051372,1.9999399916618321,1.9999399916618321,1.9999399916618321,1.5503410788076228,1.0,7.739305157333315e-24,7.06961793815997e-28,1623.8638901741817,4.222123787514087e-05,6.3506172383846165e-24,7.086671847163716e-06,3.1847902547733743e-27,3.0172090335572674e-65,-2.2189809418376858e-40,1.1841675154546273e-51,2.3582922792323862e-23,8.0859789929131e-21,-0.9154431717211078,0.9154431717211078,-0.9772957959910892
7,7.639750130905866e-06,1798.7578155860554,0.16450908443279338,0.02428186673747032,0.00038856962332283525,1.660529782432459e-24,1.660529782432459e-24,6.415616908685156e-22,3.3210651082357344e-23,1.2567522900185385e-17,1.645081656890659e-07,1.645081656890659e-07,0.0009999944152401634,0.0009999944152401634,1.9999403809555967,1.9999403809555967,1.9999403809555967,1.5503413805857345,1.0,7.739273805312755e-24,7.073226932703901e-28,1623.8633257242038,3.986767817648812e-05,5.99658727374064e-24,6.6916359340437515e-06,3.007246707322663e-27,3.784391850015567e-55,-2.219623582876102e-40,1.3263922862160718e-46,1.7901281894517135e-22,7.630427544558849e-21,-0.9201566655289308,0.9201566655289307,-0.9785286825226661
8,1.6544841668532012e-05,1797.2863822734766,0.1646693375843951,0.024285638831271755,0.0003470704685641949,1.660494859034315e-24,1.660494859034315e-24,6.415527876414408e-22,3.3210489866997247e-23,1.2567312036137274e-17,1.6466495472522942e-07,1.6466495472522942e-07,0.0009999733838780796,0.0009999733838780796,1.9999443444931475,1.9999443444931475,1.9999443444931475,1.5503444530954638,1.0,7.739166706147277e-24,7.08001919420265e-28,1623.8585513547557,3.5609818459185534e-05,5.356078673488519e-24,5.976970611415991e-06,2.6860362149989524e-27,1.7741875459242855e-47,-2.2207833231086836e-40,9.084363891005469e-43,8.791364535742199e-22,6.80727110256666e-21,-0.9286839170040361,0.9286839170040362,-0.980766929915216
9,2.8835825457879612e-05,1795.2149395876509,0.1648929250253457,0.024290586996624966,0.00029023089446490995,1.660400207695526e-24,1.660400207695526e-24,6.41538759421631e-22,3.3211315825781927e-23,1.2566866069775157e-17,1.6487913725759238e-07,1.6487913725759238e-07,0.00099991638350917,0.00099991638350917,1.999964403744132,1.999964403744132,1.999964403744132,1.5503600029024285,1.0,7.738999045765597e-24,7.089478830136935e-28,1623.8361053489384,2.9778014551044633e-05,4.478818148692418e-24,4.998124830147831e-06,2.246096615315634e-27,4.206831435602296e-42,-2.222274325255176e-40,4.4254362390875565e-40,2.8987781711207692e-21,5.682750371496784e-21,-0.9403633197509458,0.9403633197509457,-0.9838535269849048
10,4.3405092913974666e-05,1792.6953968663913,0.1651616871825358,0.024296033582771347,0.0002179065826967393,1.660202767986789e-24,1.660202767986789e-24,6.415372668340913e-22,3.321651109616e-23,1.2566280858352394e-17,1.6512823905659966e-07,1.6512823905659966e-07,0.0009997974825366176,0.0009997974825366176,2.000031864726194,2.0000318647261937,2.0000318647261937,1.55041229823736,1.0,7.738986355129198e-24,7.101022463865342e-28,1623.763149553015,2.235745923009047e-05,3.3627077794335736e-24,3.7526132551712656e-06,1.686376070182898e-27,4.155970052907646e-38,-2.223851012636468e-40,4.401475160375811e-38,7.72317943307617e-21,4.257885136617369e-21,-0.9552245283176747,0.9552245283176746,-0.9878210913926734
11,6.104366913825866e-05,1789.535257015704,0.16549320673262,0.024301889403161536,0.0001142461702729608,1.659790570342026e-24,1.659790570342025e-24,6.416135443924334e-22,3.323728864994281e-23,1.256604544568013e-17,1.654186108866797e-07,1.654186108866796e-07,0.0009995492513111984,0.0009995492513111977,2.0002459690999967,2.0002459690999967,2.0002459690999967,1.5505782706201532,1.0000000000000004,7.739923468656656e-24,7.116137526072517e-28,1623.5361365738538,1.1721784915632641e-05,1.763242572318444e-24,1.967456364159124e-06,8.842566144998338e-28,1.3669238662416597e-34,-2.2254011034500494e-40,2.5275473379764193e-36,2.0375616926440872e-20,2.2268885265142075e-21,-0.9765246827398959,0.9765246827398958,-0.9935792669715973
12,7.455428700742544e-05,1787.0125412059247,0.16575252015252942,0.024305658426062658,2.071845229147367e-05,1.6592876048742953e-24,1.659287604874294e-24,6.418170322203679e-22,3.3276460822077355e-23,1.2567129305579383e-17,1.6562760216214454e-07,1.6562760216214439e-07,0.0009992463584247773,0.0009992463584247765,2.000609132298254,2.000609132298255,2.000609132298255,1.5508597924792662,1.0000000000000007,7.74240704650749e-24,7.129574888918435e-28,1623.1553352969565,2.1257363898081465e-06,3.19864053612257e-25,3.567966498920322e-07,1.6041069101423498e-28,2.3609730648384435e-32,-2.2262384144991594e-40,3.3277928334254655e-35,4.008867045747993e-20,4.0314203316774753e-22,-0.9957427698493646,0.9957427698493646,-0.9988306976846756
13,7.750724172980626e-05,1786.4472534515776,0.16580988558353418,0.024306379624144912,0.0,1.6591493275059537e-24,1.6591493275059526e-24,6.418916108635335e-22,3.328956374008545e-23,1.2567658579132042e-17,1.6567111694351844e-07,1.6567111694351834e-07,0.0009991630858466167,0.000999163085846616,2.0007261747022813,2.0007261747022826,2.000726174702282,1.5509505230250267,1.0000000000000009,7.743316018331905e-24,7.132879683537559e-28,1623.033148767111,0.0,0.0,0.0,0.0,6.748274476859353e-32,-2.2263735642770413e-40,5.629197807603109e-35,4.625688891385444e-20,0.0,-1.0,1.0,-1.0
14,7.874422165861341e-05,1786.20886768357,0.16583396539176573,0.02430666953074187,0.0,1.6590879535732292e-24,1.6590879535732274e-24,6.41927157407563e-22,3.3295685705987886e-23,1.256792383257987e-17,1.6568904733479007e-07,1.6568904733478986e-07,0.000999126125600185,0.0009991261256001838,2.000780380140669,2.000780380140669,2.0007803801406685,1.5509925427447044,1.0000000000000004,7.743749138813882e-24,7.134314592714317e-28,1622.97662376301,0.0,0.0,0.0,0.0,1.0407336828497767e-31,-2.226424416253076e-40,6.992454830352893e-35,4.909204118247135e-20,0.0,-1.0,1.0,-1.0
15,8.676482289257226e-05,1784.639725864758,0.16599009926429842,0.024308361692137466,0.0,1.6586361408525025e-24,1.658636140852501e-24,6.422337381046233e-22,3.3346379268343875e-23,1.2570433428209173e-17,1.6579988085479696e-07,1.657998808547968e-07,0.0009988540376182403,0.0009988540376182392,2.0012208515377132,2.0012208515377137,2.0012208515377137,1.5513339934400883,1.0000000000000004,7.747482578677128e-24,7.144474457127995e-28,1622.5184504197437,0.0,0.0,0.0,0.0,1.5815174477893625e-30,-2.2266609116271623e-40,2.731312521069136e-34,7.171240664793784e-20,0.0,-1.0,1.0,-1.0
