,Unnamed: 0,t[s],P[Pa],T[K],density[kg/m3],mean_MW[kg/mol],gas_mass[kg],gas_volume[m3],reactor_volume[m3],N_agg[mol/kg],N_pri[mol/kg],C_tot[mol/kg],H_tot[mol/kg],A_tot[m2/kg],N_agg[#/cm3],N_pri[#/cm3],N_agg[#/g],N_pri[#/g],d_p[nm],d_m[nm],d_g[nm],d_v[nm],n_p,total_soot_mass[kg],volume_fraction,SSA[m2/g],total_carbon_mass[kg],carbon_yield,total_hydrogen_mass[kg],total_carbon_mass[kg].1,total_hydrogen_mass[kg].1,C_tot_inception[mol/kg-s],C_tot_PAH[mol/kg-s],C_tot_growth[mol/kg-s],C_tot_int[mol],C_tot_inception_int[mol],C_tot_PAH_int[mol],C_tot_growth_int[mol]
0,0,0.0,530662.4999999999,2225.0,1.1116754563090447,0.03875465,1.1116754563090443,0.9999999999999998,0.9999999999999998,1.4901327247760852e-19,1.660539131934866e-24,4.800286584411558e-12,3.321078263869749e-23,1.2567588138810746e-17,0.0997594106953997,1.111675507048307e-06,89.73789079289232,0.0010000000456421,1.9999399719905624,88.00959055791596,68.22448880458599,88.00959055791596,1.0,6.409502931828665e-14,3.5608349621270365e-17,2.179744580432004e-07,0.0172267507328509,3.720668529557468e-12,0.0057828872662223,0.0172267507328509,0.0057828872662223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2.2222e-16,530662.4999999998,2224.9999999978418,1.111675456309993,0.0387546499999954,1.1116754563090443,0.9999999999991468,0.9999999999991468,1.660539131934866e-24,1.660539131934866e-24,6.415647815256822e-22,3.321078263869749e-23,1.2567588138810746e-17,1.1116755070492557e-06,1.1116755070492557e-06,0.0010000000456421,0.0010000000456421,1.9999399719905624,1.9999399719905624,1.5503410635585768,1.9999399719905624,1.0,8.603602153926104e-24,4.779778974407471e-27,1623.8639384947749,0.0172267507327868,4.972723712052352e-22,0.0057828872662223,0.0172267507327868,0.0057828872662223,2.06297e-318,6.573323244680552e-179,4.5955414177689705e-68,5.676332794532674e-84,0.0,8.119254492751027e-195,5.676332794532674e-84
2,2,2.222222222e-11,530662.4999999999,2224.999784115668,1.1116755511855223,0.0387546495472994,1.1116754563090443,0.999999914654525,0.999999914654525,1.6605391319348782e-24,1.660539131934866e-24,6.415647819039263e-22,3.321078263869749e-23,1.2567588138810746e-17,1.1116756019247971e-06,1.1116756019247893e-06,0.0010000000456421,0.0010000000456421,1.9999399719905624,1.9999399719911704,1.5503410635590482,1.9999399719911704,1.0,8.603602158976545e-24,4.7797793851417335e-27,1623.863937541543,0.0172267507327868,4.972723714984095e-22,0.0057828872662223,0.0172267507327868,0.0057828872662223,1.7445479494877064e-191,1.9115326281530026e-115,2.271340591247612e-44,1.8703562688800033e-55,1.4365640301852802e-202,1.5740690973478393e-126,1.8703562688800033e-55
3,3,7.107002903987783e-09,530662.4999999998,2224.9309952490235,1.111705782383719,0.0387545052666648,1.1116754563090443,0.999972721132556,0.999972721132556,1.6605391328853837e-24,1.6605391338372226e-24,6.416260501732449e-22,3.321078263869749e-23,1.2567617172599397e-17,1.1117058337607228e-06,1.1117058343979643e-06,0.0010000000462145,0.0010000000467877,1.999940074170581,1.9999400408089292,1.5503411169061474,1.9999400341072693,1.0000000005732108,8.604420233366317e-24,4.78036386589352e-27,1623.7132980662063,0.0172267507327866,4.973198601050805e-22,0.0057828872662222,0.0172267507327866,0.0057828872662222,1.233374192473439e-125,1.6072758964801765e-82,1.1059180574689275e-32,2.9079341194975893e-41,3.243071103682219e-134,4.226219461481108e-91,2.9079341194975893e-41
4,4,4.6962818340721316e-08,530662.4999999998,2224.5453052920807,1.1118752936119531,0.0387536954094762,1.1116754563090443,0.999820270039224,0.999820270039224,1.6605391490389767e-24,1.6605391319388275e-24,6.421156487722338e-22,3.321078263877694e-23,1.2567588138840743e-17,1.1118753558130258e-06,1.1118753443629892e-06,0.0010000000559424,0.0010000000456445,1.9999399719905644,1.9999408577235127,1.550341750173266,1.9999408577235127,1.0,8.610957517339876e-24,4.78472524589181e-27,1622.4768558916203,0.0172267507327851,4.976993445519649e-22,0.0057828872662218,0.0172267507327851,0.0057828872662218,1.9277503043641484e-103,2.009485625422456e-71,2.017505808194693e-28,3.198140981684936e-36,3.055143811836882e-111,3.184679862218902e-79,3.198140981684936e-36
5,5,1.1947055113907125e-07,530662.4999999999,2223.8483081390323,1.1121817196010395,0.0387522299896518,1.1116754563090443,0.999544801642508,0.999544801642508,1.6605391571157826e-24,1.660539131940698e-24,6.4237577617834445e-22,3.321078263888808e-23,1.2567588138862217e-17,1.1121817872288687e-06,1.1121817703673148e-06,0.0010000000608064,0.0010000000456456,1.9999399719911075,1.999941275979836,1.5503420744029743,1.999941275979836,1.0,8.614430825324427e-24,4.7879743810319735e-27,1621.822678975152,0.0172267507327805,4.979009674835489e-22,0.0057828872662206,0.0172267507327805,0.0057828872662206,5.392958008398541e-93,3.361237351750295e-66,3.1663184083503857e-26,1.0178776191374048e-33,1.7059821323182768e-100,1.0632936863331506e-73,1.0178776191374048e-33
6,6,2.331292786007182e-07,530662.4999999999,2222.76587568144,1.112657908982701,0.0387499517867979,1.1116754563090443,0.9991170218036246,0.9991170218036246,1.6605392657255417e-24,1.660539131965852e-24,6.458737400174972e-22,3.321078264434033e-23,1.2567588139544493e-17,1.1126580494143515e-06,1.112657959787567e-06,0.0010000001262127,0.0010000000456608,1.999939972027614,1.9999469003505972,1.5503464343803088,1.9999469003505972,1.0,8.661136806501063e-24,4.815995088935749e-27,1613.0768502866213,0.0172267507327614,5.006122147695191e-22,0.0057828872662157,0.0172267507327614,0.0057828872662157,3.2212582704294027e-85,2.5981062399934115e-62,1.0659542224664979e-24,5.467898599056456e-32,1.5133842818525603e-92,1.2211077864474218e-69,5.467898599056456e-32
7,7,4.127697278362729e-07,530662.4999999999,2221.077076728205,1.1134015244719495,0.0387463884235962,1.1116754563090443,0.9984497343276733,0.9984497343276733,1.660539745818154e-24,1.6605391320770432e-24,6.613359482131863e-22,3.321078279908413e-23,1.2567588155546429e-17,1.1134019869024677e-06,1.113401575385324e-06,0.0010000004153313,0.0010000000457277,1.999939973152682,1.9999717629649465,1.5503657077247646,1.9999717629649465,1.0,8.86759337342319e-24,4.934089913229538e-27,1575.520968224991,0.0172267507327453,5.12596864106496e-22,0.0057828872662115,0.0172267507327453,0.0057828872662115,5.699010100706972e-74,1.0931827898412654e-56,1.7910559262924118e-23,1.639438611108742e-30,4.5287358621291985e-81,8.687062400023948e-64,1.639438611108742e-30
8,8,7.86191049868048e-07,530662.4999999998,2217.637462156476,1.114917464395767,0.038739057846813,1.1116754563090443,0.9970921541815836,0.9970921541815836,1.6605405003737705e-24,1.6605391322518e-24,6.856377547635914e-22,3.321078870867426e-23,1.2567588743939129e-17,1.1149184340788756e-06,1.114917515495797e-06,0.0010000008697353,0.001000000045833,1.999940016719321,2.0000108809974484,1.550396031780968,2.0000108809974484,1.0,9.192079215618713e-24,5.1216035086900596e-27,1519.904215782214,0.0172267507328322,5.314330242509991e-22,0.0057828872662346,0.0172267507328322,0.0057828872662346,6.232866778911967e-59,3.617416562984107e-49,3.3723935393513298e-22,6.090480160583023e-29,9.701235384133685e-66,5.630380688121729e-56,6.090480160583023e-29
9,9,1.5703482977761e-06,530662.4999999999,2210.6056760005995,1.1180125393890468,0.0387234231263941,1.1116754563090443,0.9943318318384288,0.9943318318384288,1.6605401417620384e-24,1.6605391321687472e-24,6.740898504883352e-22,3.321101401521769e-23,1.2567611139224408e-17,1.1180132703169072e-06,1.1180125905750152e-06,0.0010000006537742,0.001000000045783,1.9999416787252204,1.999993972391595,1.5503829243345697,1.999993972391595,1.0,9.0378879942956e-24,5.049671271648133e-27,1545.8373523471414,0.0172267507327835,5.224823244826109e-22,0.0057828872662212,0.0172267507327835,0.0057828872662212,1.3484350363923646e-43,1.6832507160739068e-41,5.9755671259357576e-21,2.3235048636476887e-27,4.550217886166012e-50,5.680034815042503e-48,2.3235048636476887e-27
